product_name,prior_image_uuid,new_image_uuid,product_group_url
"mfused Super Fog FIRE FATTY JOINTS - Maui Pineappl","fb15b60e-3168-43eb-87f0-e5151009376c","88036266-e011-4723-8db5-bb776cbd65de","https://prime.sweedpos.com/store_setup/products/product/37027"
"mfused Super Fog FIRE FATTY JOINTS - Tropical Sapp","1708a7bb-eda6-4c90-8fdf-b47a94364f11","4ca335ac-82c8-4eac-8f4a-18d4abc13761","https://prime.sweedpos.com/store_setup/products/product/37028"
"mfused Super Fog Love Potion Jefé","170b4bd5-119e-47e6-9339-553dab29a549","422a19fc-0b98-483e-abf5-b303c24be72c","https://prime.sweedpos.com/store_setup/products/product/37035"
"Milk Churro Bar","0a17a468-5f36-42cb-8163-37936a403e02","e8870dcd-b66b-4c6d-a492-c78f3c6d1bec","https://prime.sweedpos.com/store_setup/products/product/35876"
"Mimosa","43e87ede-90b4-4e64-8dce-4c0333e820ab","54952ff3-750c-424b-bbc5-09e1eefa13f4","https://prime.sweedpos.com/store_setup/products/product/36963"
"Mimosa","3e0f7706-e3e7-427f-9649-4eeedfc7b81f","5e70ff3c-e3e2-44f7-859f-3150d66c3e96","https://prime.sweedpos.com/store_setup/products/product/67129"
"Mini Bursts Blue Cookies","ad4b58ef-e257-44fc-92a5-ada79ebed919","06098983-8157-4392-bdfb-15270c546a88","https://prime.sweedpos.com/store_setup/products/product/36996"
"Mini Bursts Purple ZaZa","b321a28d-3899-4440-8ed1-087cdb92acf5","b4d73eaf-fd3b-472a-b521-5cdf5b13bcd0","https://prime.sweedpos.com/store_setup/products/product/36998"
"Mini Purple Bubble Sherbert","bbe5cdbf-28be-44ae-9987-2f3c556be44a","1d3d4f87-8be5-4b1b-aa22-971ac48299d5","https://prime.sweedpos.com/store_setup/products/product/36961"
"Mintz","e22230ba-d775-4d0f-a6fc-e09954811cb5","6da1afc8-2ca3-4d51-8961-4e67b8e24bb4","https://prime.sweedpos.com/store_setup/products/product/71249"
"Moon Rocks Cherry Gelato","3a72bed1-1289-4340-bdbb-f7c6f11b8651","c094c1a2-cc0b-4ff5-9e81-7d0e8b3a1d96","https://prime.sweedpos.com/store_setup/products/product/73073"
"Moon Rocks Gorilla Goo","99b565b8-6d90-4bd7-a271-049071d35022","3528b289-2543-4a95-85fc-c19ad2c162ee","https://prime.sweedpos.com/store_setup/products/product/73069"
"Moon Rocks Skywalker","825437e3-8ff0-47fd-86f1-09d5b4e72696","610c6d03-f624-492f-8ca3-abc02d583b03","https://prime.sweedpos.com/store_setup/products/product/73070"
"Moon Rocks Waui","c41e9535-cc0f-4a46-8abe-22d67c640cf8","4c4c87a5-a171-4d9c-8ef5-e8bc34102440","https://prime.sweedpos.com/store_setup/products/product/73071"
"Moon Roll Pink Cookies","3a9be663-a5bc-445e-a299-ed78d4572c98","3c198772-4bac-403a-8eaf-41adee3051d4","https://prime.sweedpos.com/store_setup/products/product/73065"
"Moroccan Peaches","9ae7b99a-7380-44f1-a62d-fa02e1b24380","53f7ea46-344d-459f-bb48-53eaaafa24e1","https://prime.sweedpos.com/store_setup/products/product/69651"
"New York City Diesel Powdered Donuts","1878d75d-8583-44cb-9b0b-411cdd08c1f1","4b4e71f8-bbca-4e11-b70b-ec9b246c39ab","https://prime.sweedpos.com/store_setup/products/product/60617"
"Nic The Bruiser","fa63dd57-15fa-48e9-b344-e5b8a9cb60ca","17b491a6-26af-440e-95d3-11044ae8a6ba","https://prime.sweedpos.com/store_setup/products/product/36890"
"Night Moves","974ac04d-4b6d-44a0-a7a0-815501992ed5","b6e811a1-cbf0-4f13-80b2-ca141effe9b1","https://prime.sweedpos.com/store_setup/products/product/71255"
"Northern Lights","39e4ba4d-d9dd-4864-a0c6-0bc593697c02","00bfe2d8-91a1-49a4-b368-7b0f1513cbae","https://prime.sweedpos.com/store_setup/products/product/36917"
"Northern Lights","ec210a54-0c2e-4fb6-b78f-a2351926471e","6530b657-6385-40b6-9efe-79c01fa2a57b","https://prime.sweedpos.com/store_setup/products/product/72328"
"Northern Lights","b50e9ed4-49cc-460c-8dd9-04dafc63b953","64db1f17-94e0-4218-965b-e7f257e78c7e","https://prime.sweedpos.com/store_setup/products/product/72445"
"Northern Lights #5","139a7303-5369-4d2c-b285-058da7089cc6","1c0bc8c9-8553-400e-bcd0-67b570fec057","https://prime.sweedpos.com/store_setup/products/product/36915"
"Nox Cookies","b75ecc7e-503a-446a-844c-acc01a96d005","61cd6cb5-ec79-486c-88a4-1603918f1c13","https://prime.sweedpos.com/store_setup/products/product/36953"
"NY Octane","7d1f29b4-34d3-474e-8f88-86a6936e4cfe","a012a101-f6b1-41f2-a37e-fc765a16e3ee","https://prime.sweedpos.com/store_setup/products/product/37061"
"NY Tangie","0fa111b8-55fd-4252-a288-e48911e8be11","86f75938-8cdc-4415-b534-471f023f1598","https://prime.sweedpos.com/store_setup/products/product/37003"
"NYC Vapor","c9e7c9fa-13e6-4ee6-9d56-cbbe042a4c24","ffadf703-9fad-4fcc-99ff-0ad0e82fa92f","https://prime.sweedpos.com/store_setup/products/product/73096"
"O2 OG Kush x Block Monster Water Hash","1b0d96ac-feb4-4a1f-b603-e137843707e8","70a57430-26af-4d4c-95f8-cfb098646960","https://prime.sweedpos.com/store_setup/products/product/36933"
"OG Kush","862f9f15-b9e0-4a4d-be2e-e33119e3e575","1b220abf-9150-4175-8e61-6a685e27be85","https://prime.sweedpos.com/store_setup/products/product/72819"
"Oishii #4 x Fresh Strawberry Resin","7227417b-8a60-4a19-aa30-4beaa8a2845b","f44b3830-cb0e-4266-85b6-e7208a50fceb","https://prime.sweedpos.com/store_setup/products/product/36936"
